Nom1;Logo;Photo;Type structure;Plusieurs lieux à Paris / En France;Nom2;Rue (adresse du lieu d'enseignement);CP;Info adresse;Latitude;Longitude;Jour(s) de fermeture;Accès handicapés ?;Centre de formation pro ?;Nombre de salles;Nombre de salles en location;Site web;Newsletter (à laquelle je souscris via l'adresse bloginfolbc@gmail.com);Réservation possible en ligne;Réservation obligatoire en ligne;Possibilité cours d'essai;Info cours d'essai;Prix cours d'essai;Info cours d'essai2;Adhésion annuelle obligatoire ?;Prix (à p. de) adhésion/inscription annuelle adultes;Prix (à p. de) adhésion/inscription annuelle enfants;Info inscription;Cours sans adhésion annuelle obligatoire;Formulaire d'inscription à remplir;Pour inscription : photocopie carte d'identité;Pour inscription : photo d'identité;Pour inscription : règlement sur place;Pour inscription : certificat médical de moins de 3 mois;Pour inscription : attestation d'assurance;Possibilité d'annulation sans frais;Limite avant annulation sans frais (en nombre de jours);Fixe;Portable;Mail;Mail2;Nom contact;Chèques vacances acceptés;Coupons Sports ANCV accepté;Tickets loisirs C.A.F. acceptés;Possibilité financement par l'AFDAS;Possibilité financement DIF;;;
Claquettes, Swing, Danse Rythme et Mouvement (C.S.D.R.M.) - 75011ème St-Louis;;;Association;;Atelier Saint Louis;26 rue de Lappe;75011;;;;;;;;;http://www.claquettes-swing.fr/;;;;X;;12;;;26;26;;;;;;;;;;;01 40 33 02 77;06 66 50 06 37;lynegauthier@free.fr;;;;;;;;;;
Claquettes, Swing, Danse Rythme et Mouvement (C.S.D.R.M.) - 75005ème;;;Association;;Salle de l'ENS (Ecole normale supérieure);45 rue d'Ulm;75005;;;;;;;;;http://www.claquettes-swing.fr/;;;;X;;12;;;26;26;;;;;;;;;;;01 40 33 02 77;06 66 50 06 37;lynegauthier@free.fr;;;;;;;;;;
Le Centre des Arts Vivants;;;Ecole privée;;;4 rue Bréguet;75011;;;;;;;10;Contacter karine@lecentredesarts.com;http://www.lecentredesarts.com/;;;;;;;;;15;15;Même prix de l'adhésion annuelle pour tous (enfants ou adultes).;Cours individuels. ;;;;;X;X;;La veille avant 14h.;01 55 28 84 00;;lecentre@lecentredesarts.com;;;X;;;;;;;
Helium Espace;;;Association;;;21 rue Pétion;75011;;;;;;;;;http://www.heliumespace.com/;;;;;;;;X;15;15;Adhésion annuelle à l'association Frequence Danse.;;;;;;;;;;01 44 93 06 51;06 03 18 40 37;heliumespace@gmail.com;;;;;;;;;;
Kajyn;;;Association;Oui >10 franchises en France;;13 rue Faidherbe;75011;;;;;;;6;;http://paris.kajyn.com/;;;;X;Toute l'année : 3 cours d'essai gratuits pour les jeunes uniquement.;12;Jusqu'à 3 cours d'essai possibles, remboursés si inscription sous 7 jours.;;45;45;Adhésion valable jusqu'au 31 août 2013.;X;;;;;;;;; 08 92 39 05 05 (code code 4474#);;kajyn@kajyn.com;;;;;;;;;;
La Musique Buissonnière;;;Association;;La Maison Jaune;37bis rue de Montreuil;75011;;;;;;;2;;http://musiquebuissonniere.les-atelieres.org/;;;;;;;;X;15;15;;;;;;;;;;;01 43 79 20 55;06 82 77 63 79;musiquebuissonniere@yahoo.fr;;;;;;;;;;
La Petite Rockette;;;Association;;;62 rue Oberkampf;75011;;;;;;;2;;http://lapetiterockette.org/;;;;;;;;X;25;25;Adhésion obligatoire sur certains cours seulement.;;;;;;;;;;01 55 28 61 18;;;;;;;;;;;;
Le Studio 97;;;Association;;;97 rue Oberkampf;75011;Au fond de la cour à gauche, 2ème étage, code 3408.;;;;;;1;;http://www.lestudio97.com/;;;;;;;;;40;40;;;;;;;X;;;;01 43 57 32 01;06 87 10 18 25;josy.yog@gmail.com;;;;;;;;;;
Passions Leitmotiv;;;Association;;;47 rue de la Roquette;75011;;;;;;;4;;http://www.passionsleitmotiv.com/;;;;;;;;;;;;;;;;;;;;;01 48 05 53 64;06 03 58 40 75;passionsleitmotiv@free.fr;;;;;;;;;;
Polynotes;;;;;;;75011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
