Nom structure,Type cours,Nom cours,Jour de la semaine,Heure du début,Heure de fin,Durée,Age1,Age2,Age3,Nom Prof,Info cours1,Info cours2,Niveau1,Niveau2,Age min.,Age max.,Cours individuel / particulier,Cours pour handicapés,Récurrence,Pas cours pendant les vacances scolaires,Date début,Date fin,Stage : J1 (ou cours à plusieurs jours),Heure de début J1,Durée J1,Stage : J2,Heure de début J2,Durée J2,Stage : J3,Heure de début J3,Durée J3,Stage : J4,Heure de début J4,Durée J4,Stage : J5,Heure de début J5,Durée J5,Adhésion / inscription annuelle obligatoire ?,Prix (à p. de) adhésion/inscription annuelle adultes,Prix (à p. de) adhésion/inscription annuelle enfants,Info adhésion / inscription,Gratuit,Prix cours individuel / stage (adhésion obligatoire ou non),Prix cours annuel (1 cours / semaine),Forfait : 2 cours / semaine,Prix cours par semestre,Prix cours par trimestre,Prix cours par mois,Prix carnet 5 cours,Durée validité carnet 5 cours (en nbre de mois),Prix carnet 10 cours,Durée validité carnet 10 cours (en nbre de mois),Prix carnet 20 cours,Durée validité carnet 20 cours,Prix carnet 30 cours,Durée validité carnet 30 cours,Prix carnet 40 cours,Durée validité carnet 40 cours,Prix carnet 50 cours,Durée validité carnet 50 cours,Nbre de cours : XX,Prix carnet XX cours,Durée validité carnet XX cours ,Nbre de cours : YY,Prix carnet YY cours,Durée validité carnet YY cours,Nbre de cours : ZZ,Prix carnet ZZ cours,Durée validité carnet ZZ cours,Carte illimitée,Durée validité carte illimitée,Cours exclus de la carte illimitée,Info prix1,Info prix2,Promo,Tarif étudiant,Tarif jeunes / seniors,Tarif demandeur d'emploi,Tarif RSA / bas revenus,Tarif famille nombreuse,Prix dégressif à p. de 2 cours,Tarif couple,Autres tarifs préférentiels,Offre exceptionnelle,Prix cours d'essai,Détail,Prix1,Type Prix1,Prix2,Type Prix2,Prix3 : prix unitaire approx. (hors adhésion annuelle),Nbre semaines pour calcul Prix3
Deep Side Center,Cours,Zumba®,Vendredi,6:30 PM,,1:00,Adulte,,,,,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,15,15,,,13,,,,,,,,120,3,230,6,,,440,10,,,,,,,,,,,,790,10,hors stage,,,,,,,,,,,,X,,"1 cadeau offert : 1 DVD ""Deep Side Show 2011 offert"" pour toute souscription à un forfait annuel (cours de danse) ou une carte de 40 cours (danse) souscrit durant le mois de septembre.",13,/ cours,120,/ carnet de 10 séances,13,1
Deep Side Center,Cours,Boxe Tonic,Vendredi,8:45 PM,,1:00,Adulte,,,,,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,15,15,,,13,,,,,,,,120,3,230,6,,,440,10,,,,,,,,,,,,790,10,hors stage,,,,,,,,,,,,X,,"1 cadeau offert : 1 DVD ""Deep Side Show 2011 offert"" pour toute souscription à un forfait annuel (cours de danse) ou une carte de 40 cours (danse) souscrit durant le mois de septembre.",13,/ cours,120,/ carnet de 10 séances,13,1
Deep Side Center,Cours,Housedance,Mercredi,9:00 PM,,1:00,Adulte,,,,Cours tous niveaux ouvert aux débutants.,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,15,15,,,15,420,800,,,,,,140,3,260,6,,,460,10,,,,,,,,,,,,1290,10,hors stage,,,,,,,,,,,,X,,"1 cadeau offert : 1 DVD ""Deep Side Show 2011 offert"" pour toute souscription à un forfait annuel (cours de danse) ou une carte de 40 cours (danse) souscrit durant le mois de septembre.",15,/ cours,420,/ an (1 cours par semaine),15,1
Deep Side Center,Cours,Hip Hop,Lundi,8:30 PM,,1:30,Adulte,,,,Cours tous niveaux ouvert aux débutants.,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,15,15,,,15,420,800,,,,,,140,3,260,6,,,460,10,,,,,,,,,,,,1290,10,hors stage,,,,,,,,,,,,X,,"1 cadeau offert : 1 DVD ""Deep Side Show 2011 offert"" pour toute souscription à un forfait annuel (cours de danse) ou une carte de 40 cours (danse) souscrit durant le mois de septembre.",15,/ cours,420,/ an (1 cours par semaine),15,1
Deep Side Center,Cours,Hip Hop,Mardi,8:30 PM,,1:30,Adulte,,,,Cours tous niveaux ouvert aux débutants.,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,15,15,,,15,420,800,,,,,,140,3,260,6,,,460,10,,,,,,,,,,,,1290,10,hors stage,,,,,,,,,,,,X,,"1 cadeau offert : 1 DVD ""Deep Side Show 2011 offert"" pour toute souscription à un forfait annuel (cours de danse) ou une carte de 40 cours (danse) souscrit durant le mois de septembre.",15,/ cours,420,/ an (1 cours par semaine),15,1
Deep Side Center,Cours,Hip Hop,Mercredi,7:00 PM,,1:30,Adulte,,,,,,I,A,,,,,,,,,,,,,,,,,,,,,,,,X,15,15,,,15,420,800,,,,,,140,3,260,6,,,460,10,,,,,,,,,,,,1290,10,hors stage,,,,,,,,,,,,X,,"1 cadeau offert : 1 DVD ""Deep Side Show 2011 offert"" pour toute souscription à un forfait annuel (cours de danse) ou une carte de 40 cours (danse) souscrit durant le mois de septembre.",15,/ cours,420,/ an (1 cours par semaine),15,1
Deep Side Center,Cours,Hip Hop,Jeudi,6:00 PM,,1:00,Adulte,,,,Cours tous niveaux ouvert aux débutants.,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,15,15,,,15,420,800,,,,,,140,3,260,6,,,460,10,,,,,,,,,,,,1290,10,hors stage,,,,,,,,,,,,X,,"1 cadeau offert : 1 DVD ""Deep Side Show 2011 offert"" pour toute souscription à un forfait annuel (cours de danse) ou une carte de 40 cours (danse) souscrit durant le mois de septembre.",15,/ cours,420,/ an (1 cours par semaine),15,1
Deep Side Center,Cours,Hip Hop,Vendredi,6:00 PM,,1:30,Adulte,,,,Cours tous niveaux ouvert aux débutants.,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,15,15,,,15,420,800,,,,,,140,3,260,6,,,460,10,,,,,,,,,,,,1290,10,hors stage,,,,,,,,,,,,X,,"1 cadeau offert : 1 DVD ""Deep Side Show 2011 offert"" pour toute souscription à un forfait annuel (cours de danse) ou une carte de 40 cours (danse) souscrit durant le mois de septembre.",15,/ cours,420,/ an (1 cours par semaine),15,1
Deep Side Center,Cours,Hip Hop,Vendredi,7:30 PM,,2:30,Adulte,,,,Cours tous niveaux ouvert aux débutants.,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,15,15,,,15,420,800,,,,,,140,3,260,6,,,460,10,,,,,,,,,,,,1290,10,hors stage,,,,,,,,,,,,X,,"1 cadeau offert : 1 DVD ""Deep Side Show 2011 offert"" pour toute souscription à un forfait annuel (cours de danse) ou une carte de 40 cours (danse) souscrit durant le mois de septembre.",15,/ cours,420,/ an (1 cours par semaine),15,1
Deep Side Center,Cours,Dancehall,Lundi,7:00 PM,,1:30,Adulte,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,X,15,15,,,15,420,800,,,,,,140,3,260,6,,,460,10,,,,,,,,,,,,1290,10,hors stage,,,,,,,,,,,,X,,"1 cadeau offert : 1 DVD ""Deep Side Show 2011 offert"" pour toute souscription à un forfait annuel (cours de danse) ou une carte de 40 cours (danse) souscrit durant le mois de septembre.",15,/ cours,420,/ an (1 cours par semaine),15,1
Deep Side Center,Cours,Dancehall,Mardi,7:00 PM,,1:30,Adulte,,,,Cours tous niveaux ouvert aux débutants.,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,15,15,,,15,420,800,,,,,,140,3,260,6,,,460,10,,,,,,,,,,,,1290,10,hors stage,,,,,,,,,,,,X,,"1 cadeau offert : 1 DVD ""Deep Side Show 2011 offert"" pour toute souscription à un forfait annuel (cours de danse) ou une carte de 40 cours (danse) souscrit durant le mois de septembre.",15,/ cours,420,/ an (1 cours par semaine),15,1
Deep Side Center,Cours,Dancehall,Mercredi,8:30 PM,,1:30,Adulte,,,,Cours tous niveaux ouvert aux débutants.,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,15,15,,,15,420,800,,,,,,140,3,260,6,,,460,10,,,,,,,,,,,,1290,10,hors stage,,,,,,,,,,,,X,,"1 cadeau offert : 1 DVD ""Deep Side Show 2011 offert"" pour toute souscription à un forfait annuel (cours de danse) ou une carte de 40 cours (danse) souscrit durant le mois de septembre.",15,/ cours,420,/ an (1 cours par semaine),15,1
Deep Side Center,Cours,Dancehall,Jeudi,7:00 PM,,1:30,Adulte,,,,Cours tous niveaux ouvert aux débutants.,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,15,15,,,15,420,800,,,,,,140,3,260,6,,,460,10,,,,,,,,,,,,1290,10,hors stage,,,,,,,,,,,,X,,"1 cadeau offert : 1 DVD ""Deep Side Show 2011 offert"" pour toute souscription à un forfait annuel (cours de danse) ou une carte de 40 cours (danse) souscrit durant le mois de septembre.",15,/ cours,420,/ an (1 cours par semaine),15,1
Deep Side Center,Cours,Dancehall,Jeudi,8:30 PM,,1:30,Adulte,,,,Cours tous niveaux ouvert aux débutants.,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,15,15,,,15,420,800,,,,,,140,3,260,6,,,460,10,,,,,,,,,,,,1290,10,hors stage,,,,,,,,,,,,X,,"1 cadeau offert : 1 DVD ""Deep Side Show 2011 offert"" pour toute souscription à un forfait annuel (cours de danse) ou une carte de 40 cours (danse) souscrit durant le mois de septembre.",15,/ cours,420,/ an (1 cours par semaine),15,1
Deep Side Center,Cours,Jazz,Jeudi,8:30 PM,,1:30,Adulte,,,,Cours tous niveaux ouvert aux débutants.,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,15,15,,,15,420,800,,,,,,140,3,260,6,,,460,10,,,,,,,,,,,,1290,10,hors stage,,,,,,,,,,,,X,,"1 cadeau offert : 1 DVD ""Deep Side Show 2011 offert"" pour toute souscription à un forfait annuel (cours de danse) ou une carte de 40 cours (danse) souscrit durant le mois de septembre.",15,/ cours,420,/ an (1 cours par semaine),15,1
Deep Side Center,Cours-atelier,Zumba®,Dimanche,1:00 PM,,1:30,Adulte,,,,,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,15,15,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,"1 cadeau offert : 1 DVD ""Deep Side Show 2011 offert"" pour toute souscription à un forfait annuel (cours de danse) ou une carte de 40 cours (danse) souscrit durant le mois de septembre.",20,/ cours,,,20,1
Deep Side Center,Cours-atelier,Afro Tonic,Dimanche,1:00 PM,,1:30,Adulte,,,,,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,15,15,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,"1 cadeau offert : 1 DVD ""Deep Side Show 2011 offert"" pour toute souscription à un forfait annuel (cours de danse) ou une carte de 40 cours (danse) souscrit durant le mois de septembre.",20,/ cours,,,20,1
Studio harmonic,Cours,Barre au sol contemporaine,Lundi,9:30 AM,,1:30,Adulte,,,,,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,32,20,,,16,,,,,,,,120,3,220,5,,,,,480,6,,,,,,,,,,,,,La validité des cartes sera prolongée d’1 mois pour le mois d’Août.,,,,,,,,,,,,,Cours d'essai possible.,16,/ cours,120,/ carnet de 10 séances,16,1
Studio harmonic,Cours,Danse classique,Lundi,9:30 AM,,1:30,Adulte,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,X,32,20,,,16,,,,,,,,120,3,220,5,,,,,480,6,,,,,,,,,,,,,La validité des cartes sera prolongée d’1 mois pour le mois d’Août.,,,,,,,,,,,,,Cours d'essai possible.,16,/ cours,120,/ carnet de 10 séances,16,1
Studio harmonic,Cours,Barre au sol,Lundi,10:00 AM,,1:30,Adulte,,,,,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,32,20,,,16,,,,,,,,120,3,220,5,,,,,480,6,,,,,,,,,,,,,La validité des cartes sera prolongée d’1 mois pour le mois d’Août.,,,,,,,,,,,,,Cours d'essai possible.,16,/ cours,120,/ carnet de 10 séances,16,1
Studio harmonic,Cours,Méthode Feldenkrais,Lundi,10:00 AM,,1:15,Adulte,,,,,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,32,20,,,16,,,,,,,,120,3,220,5,,,,,480,6,,,,,,,,,,,,,La validité des cartes sera prolongée d’1 mois pour le mois d’Août.,,,,,,,,,,,,,Cours d'essai possible.,16,/ cours,120,/ carnet de 10 séances,16,1
Studio harmonic,Cours,Danse contemporaine,Lundi,11:00 AM,,1:30,Adulte,,,,,,I,A,,,,,,,,,,,,,,,,,,,,,,,,X,32,20,,,16,,,,,,,,120,3,220,5,,,,,480,6,,,,,,,,,,,,,La validité des cartes sera prolongée d’1 mois pour le mois d’Août.,,,,,,,,,,,,,Cours d'essai possible.,16,/ cours,120,/ carnet de 10 séances,16,1
Studio harmonic,Cours,Cunningham,Lundi,11:30 AM,,1:30,Adulte,,,,,,I,A,,,,,,,,,,,,,,,,,,,,,,,,X,32,20,,,16,,,,,,,,120,3,220,5,,,,,480,6,,,,,,,,,,,,,La validité des cartes sera prolongée d’1 mois pour le mois d’Août.,,,,,,,,,,,,,Cours d'essai possible.,16,/ cours,120,/ carnet de 10 séances,16,1
Studio harmonic,Cours,Pilates,Lundi,11:30 AM,,1:30,Adulte,,,,,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,32,20,,,16,,,,,,,,120,3,220,5,,,,,480,6,,,,,,,,,,,,,La validité des cartes sera prolongée d’1 mois pour le mois d’Août.,,,,,,,,,,,,,Cours d'essai possible.,16,/ cours,120,/ carnet de 10 séances,16,1
Studio harmonic,Cours,Moderne,Lundi,12:30 PM,,1:30,Adulte,,,,,,M,I,,,,,,,,,,,,,,,,,,,,,,,,X,32,20,,,16,,,,,,,,120,3,220,5,,,,,480,6,,,,,,,,,,,,,La validité des cartes sera prolongée d’1 mois pour le mois d’Août.,,,,,,,,,,,,,Cours d'essai possible.,16,/ cours,120,/ carnet de 10 séances,16,1
Studio harmonic,Cours,Moderne,Lundi,12:30 PM,,1:30,Adulte,,,,,,I,A,,,,,,,,,,,,,,,,,,,,,,,,X,32,20,,,16,,,,,,,,120,3,220,5,,,,,480,6,,,,,,,,,,,,,La validité des cartes sera prolongée d’1 mois pour le mois d’Août.,,,,,,,,,,,,,Cours d'essai possible.,16,/ cours,120,/ carnet de 10 séances,16,1
Studio harmonic,Cours,Modern' Jazz,Lundi,1:00 PM,,1:30,Adulte,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,X,32,20,,,16,,,,,,,,120,3,220,5,,,,,480,6,,,,,,,,,,,,,La validité des cartes sera prolongée d’1 mois pour le mois d’Août.,,,,,,,,,,,,,Cours d'essai possible.,16,/ cours,120,/ carnet de 10 séances,16,1
Studio harmonic,Cours,Danse contemporaine,Lundi,1:00 PM,,1:30,Adulte,,,,,,M,I,,,,,,,,,,,,,,,,,,,,,,,,X,32,20,,,16,,,,,,,,120,3,220,5,,,,,480,6,,,,,,,,,,,,,La validité des cartes sera prolongée d’1 mois pour le mois d’Août.,,,,,,,,,,,,,Cours d'essai possible.,16,/ cours,120,/ carnet de 10 séances,16,1
Studio harmonic,Cours,Moderne,Lundi,1:00 PM,,1:30,Adulte,,,,,,I,A,,,,,,,,,,,,,,,,,,,,,,,,X,32,20,,,16,,,,,,,,120,3,220,5,,,,,480,6,,,,,,,,,,,,,La validité des cartes sera prolongée d’1 mois pour le mois d’Août.,,,,,,,,,,,,,Cours d'essai possible.,16,/ cours,120,/ carnet de 10 séances,16,1
Studio harmonic,Cours,Danse classique,Lundi,2:00 PM,,1:30,Adulte,,,,,,I,A,,,,,,,,,,,,,,,,,,,,,,,,X,32,20,,,16,,,,,,,,120,3,220,5,,,,,480,6,,,,,,,,,,,,,La validité des cartes sera prolongée d’1 mois pour le mois d’Août.,,,,,,,,,,,,,Cours d'essai possible.,16,/ cours,120,/ carnet de 10 séances,16,1
Studio harmonic,Cours,Modern' Jazz,Lundi,2:30 PM,,1:30,Adulte,,,,,,M,I,,,,,,,,,,,,,,,,,,,,,,,,X,32,20,,,16,,,,,,,,120,3,220,5,,,,,480,6,,,,,,,,,,,,,La validité des cartes sera prolongée d’1 mois pour le mois d’Août.,,,,,,,,,,,,,Cours d'essai possible.,16,/ cours,120,/ carnet de 10 séances,16,1
Studio harmonic,Cours,Danse classique,Lundi,2:30 PM,,1:30,Adulte,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,X,32,20,,,16,,,,,,,,120,3,220,5,,,,,480,6,,,,,,,,,,,,,La validité des cartes sera prolongée d’1 mois pour le mois d’Août.,,,,,,,,,,,,,Cours d'essai possible.,16,/ cours,120,/ carnet de 10 séances,16,1
Studio harmonic,Cours,Break,Lundi,2:30 PM,,1:30,Adulte,,,,,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,32,20,,,16,,,,,,,,120,3,220,5,,,,,480,6,,,,,,,,,,,,,La validité des cartes sera prolongée d’1 mois pour le mois d’Août.,,,,,,,,,,,,,Cours d'essai possible.,16,/ cours,120,/ carnet de 10 séances,16,1
Studio harmonic,Cours,Barre au sol Jazz,Lundi,2:30 PM,,1:30,Adulte,,,,,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,32,20,,,16,,,,,,,,120,3,220,5,,,,,480,6,,,,,,,,,,,,,La validité des cartes sera prolongée d’1 mois pour le mois d’Août.,,,,,,,,,,,,,Cours d'essai possible.,16,/ cours,120,/ carnet de 10 séances,16,1
Studio harmonic,Cours,Danse contemporaine,Lundi,3:30 PM,,1:30,Adulte,,,,,,I,A,,,,,,,,,,,,,,,,,,,,,,,,X,32,20,,,16,,,,,,,,120,3,220,5,,,,,480,6,,,,,,,,,,,,,La validité des cartes sera prolongée d’1 mois pour le mois d’Août.,,,,,,,,,,,,,Cours d'essai possible.,16,/ cours,120,/ carnet de 10 séances,16,1
Studio harmonic,Cours,Danse classique,Lundi,4:00 PM,,1:30,Adulte,,,,,,D,M,,,,,,,,,,,,,,,,,,,,,,,,X,32,20,,,16,,,,,,,,120,3,220,5,,,,,480,6,,,,,,,,,,,,,La validité des cartes sera prolongée d’1 mois pour le mois d’Août.,,,,,,,,,,,,,Cours d'essai possible.,16,/ cours,120,/ carnet de 10 séances,16,1
Studio harmonic,Cours,Hip Hop,Lundi,4:00 PM,,1:30,Adulte,,,,,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,32,20,,,16,,,,,,,,120,3,220,5,,,,,480,6,,,,,,,,,,,,,La validité des cartes sera prolongée d’1 mois pour le mois d’Août.,,,,,,,,,,,,,Cours d'essai possible.,16,/ cours,120,/ carnet de 10 séances,16,1
Studio harmonic,Cours,Hip Hop New Style,Lundi,4:00 PM,,1:30,Adulte,,,,,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,32,20,,,16,,,,,,,,120,3,220,5,,,,,480,6,,,,,,,,,,,,,La validité des cartes sera prolongée d’1 mois pour le mois d’Août.,,,,,,,,,,,,,Cours d'essai possible.,16,/ cours,120,/ carnet de 10 séances,16,1
Studio harmonic,Cours,Cabaret Talons,Lundi,4:00 PM,,1:30,Adulte,,,,,,M,I,,,,,,,,,,,,,,,,,,,,,,,,X,32,20,,,16,,,,,,,,120,3,220,5,,,,,480,6,,,,,,,,,,,,,La validité des cartes sera prolongée d’1 mois pour le mois d’Août.,,,,,,,,,,,,,Cours d'essai possible.,16,/ cours,120,/ carnet de 10 séances,16,1
Studio harmonic,Cours,Lyrical Jazz,Lundi,4:00 PM,,1:30,Adulte,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,X,32,20,,,16,,,,,,,,120,3,220,5,,,,,480,6,,,,,,,,,,,,,La validité des cartes sera prolongée d’1 mois pour le mois d’Août.,,,,,,,,,,,,,Cours d'essai possible.,16,/ cours,120,/ carnet de 10 séances,16,1
Studio harmonic,Cours,Yoga Vinyasa,Lundi,4:00 PM,,1:30,Adulte,,,,,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,32,20,,,16,,,,,,,,120,3,220,5,,,,,480,6,,,,,,,,,,,,,La validité des cartes sera prolongée d’1 mois pour le mois d’Août.,,,,,,,,,,,,,Cours d'essai possible.,16,/ cours,120,/ carnet de 10 séances,16,1
Studio harmonic,Cours,Barre au sol classique,Lundi,5:30 PM,,1:30,Adulte,,,,,,TN,,,,,,,,,,,,,,,,,,,,,,,,,X,32,20,,,16,,,,,,,,120,3,220,5,,,,,480,6,,,,,,,,,,,,,La validité des cartes sera prolongée d’1 mois pour le mois d’Août.,,,,,,,,,,,,,Cours d'essai possible.,16,/ cours,120,/ carnet de 10 séances,16,1
Studio harmonic,Cours,Modern' Jazz,Lundi,5:30 PM,,1:30,Adulte,,,,,,D,M,,,,,,,,,,,,,,,,,,,,,,,,X,32,20,,,16,,,,,,,,120,3,220,5,,,,,480,6,,,,,,,,,,,,,La validité des cartes sera prolongée d’1 mois pour le mois d’Août.,,,,,,,,,,,,,Cours d'essai possible.,16,/ cours,120,/ carnet de 10 séances,16,1
