lasocieteartistique@wanadoo.fr;Nom de la structure;Site web;1_N° + Rue;1_Code postal;1_Ville;2_N° rue;2_Code postal;2_Ville;3_N° rue;3_Code postal;3_Ville;4_N° rue;4_Code postal;4_Ville;5_N° rue;5_Code postal;5_Ville;1_Discipline;2_Discipline;3_Discipline;4_Discipline;5_Discipline;6_Discipline;7_Discipline;8_Discipline;9_Discipline;10_Discipline;"Email 1 =if(or(AD7=AD6,AD7=AD8),""doublon"","""")";Email 2;Email 3;Email 4;Email 5;Tél 1;Tél 2;Tél 3;COMMENTAIRES;Evaluation du référencement : +/-;Qui ?;Rajout
2461;Chico Terto;;15 rue Basfroi;75011;Paris;1 Passage du Buisson Saint Louis;75010;Paris;;;;;;;;;;Tango, Chachacha, Samba, Forro & Mambo;Tango argentin;;;;;;;;;chicoterto@club.fr;;;;;610777107;142052759;;;;Fabrice;15/04/2014
2462;Claudia Petit & Nicolas Tchang;;15 rue Basfroi;75011;Paris;;;;;;;;;;;;;Tango, Chachacha, Samba, Forro & Mambo;;;;;;;;;;clopetit@wanadoo.fr;;;;;142400926;;;;;Fabrice;15/04/2014
2463;Greg Liberman;tangoreload.blogspot.fr;157 rue de la République;92800;Puteaux;11 rue Keller;75011;;;;;;;;;;;Tango, Chachacha, Samba, Forro & Mambo;Tango argentin;;;;;;;;;liberman.gregory@gmail.com;;;;;615013623;146929200;;;;Mehdi;15/04/2014
2465;Ludi-idf;ludi-idf.com;158 rue Oberkampf;75011;Paris;17 rue Leopold Bellan;75002;Paris;4 Place Jussieu;75005;Paris;32 rue Muller;75018;Paris;Place Saint Marthe;75010;Paris;Improvisation théâtrale;;;;;;;;;;infos@ludi-idf.com;contact@ludi-idf.com.;;;;;;;;;Guennole;15/04/2014
2469;Blandine Calais-Germain;;16 Passage de la Main d'Or;75011;Paris;13 chemin Farinier;11300;Limoux;31 villa d'Alésia;75014;Paris;7 rue du cardinal Mercier;75009;Paris;81 rue Albert;75013;Paris;Yoga autres;Ateliers corps & mouvement;;;;;;;;;shop@calais-germain.com;;;;;147707818;;;;;Fabrice;15/04/2014
2470;La Pleine Conscience;http://pleineconscience-mbsr-paris-elisabethpetitlizop.fr/;16 passage de la Main d’Or;75011;Paris;;;;;;;;;;;;;Relaxation autres;Relaxation & méditation;;;;;;;;;contact@mindfulness-elisabethpetitlizop.fr;;;;;140213214;;;;;Mehdi;15/04/2014
2472;Bodyfit Coaching;bodyfitcoaching.com;88 Boulevard de Charonne;75020;Paris;;;;;;;;;;;;;Aérobic & fitness;Arts martiaux autres;Coaching sportif & gym;;;;;;;;kaoutar@bodyfitcoaching.com;;;;;0614246231;953249519;;;;Fabrice;15/04/2014
2473;Association du Quartier Saint Bernard;qsb11.org;16 rue Charles Delescluze;75011;Paris;48 rue Trousseau ;75011;Paris;;;;;;;;;;Coaching sportif & gym;Coaching personnel;Football;;;;;;;;pcoeurderoy@almaconsultant.com;;;;;607835670;963202301;620334013;;;Zara;15/04/2014
2475;Studio MLV;studiomvl.com;16 Rue du Faubourg du temple;75011;Paris;8 rue de Prague;75012;Paris;;;;;;;;;;Costumes & décors;Création de vêtements & d'accessoires;;;;;;;;;contact@studiomvl.com;;;;;616729417;148055185;;;;Elisa;15/04/2014
2477;Cours de chant Deborah;http://coursdechantdeborah.over-blog.com/#;16 rue louis bonnet;75011;Paris;;;;;;;;;;;;;Chant & instrument;;;;;;;;;;debchamtob@yahoo.fr;caipi75@hotmail.fr;;;;628347595;;;;;Elisa;15/04/2014
2478;Serge Cortesi;sergecortesi.com ;16 rue Oberkampf;75011;Paris;;;;;;;;;;;;;Découverte de la calligraphie;;;;;;;;;;contact@sergecortesi.com;;;;;681883989;;;;;Zara;15/04/2014
2482;Frédérique Toress;frederiquetorres.free.fr;16 rue Charles Delescluze;75011;Paris;;;;;;;;;;;;;Formation d'acteurs;Théâtre amateurs;;;;;;;;;frederiquetorres@free.fr;infos@derisionnaires.org;;;;963202301;;;;;Mehdi;15/04/2014
2483;Cours de batterie Claude Ninat;claude.ninat.free.fr;165 rue de la Roquette;75011;Paris;;;;;;;;;;;;;Batterie;;;;;;;;;;claude.ninat@free.fr;;;;;143713295;;;;;Elisa;15/04/2014
2484;Pas de Dieux;pasdedieux.com;166 bis rue de la Roquette;75011;Paris;;;;;;;;;;;;;Théâtre amateurs;Mime;Danse contemporaine & moderne;;;;;;;;joel@pasdedieux.com;won@pasdedieux.com;;;;671619394;;;;;Zara;15/04/2014
2486;Le Passage Vers les Etoiles;http://www.lepassageverslesetoiles.com/;17 Cité Joly;75011;Paris;;;;;;;;;;;;;Théâtre amateurs;Pratiques théâtrales mixtes;;;;;;;;;passageversetoiles@free.fr;;;;;950006017;;;;;Guennole;15/04/2014
2490;Y a d'La Voix;yadlavoix.fr;171 rue du Faubourg St Antoine;75011;Paris;;;;;;;;;;;;;Chant & instrument;Travail de la voix;Techniques vocales;;;;;;;;contact@yadlavoix.fr;;;;;952011611;;;;;Zara;15/04/2014
2491;Association Simone Roloff;http://simoneroloff-feldenkrais.com/;173 rue du Faubourg Saint Antoine;75011;Paris;1 rue Nungesser;94120;Fontenay sous Bois;;;;;;;;;;Méthode Feldenkrais;Yoga autres;Relaxation autres;Respiration;Mime;;;;;;simfelden@gmail.com;;;;;665118437;;;;;Mehdi;15/04/2014
2492;Elisabeth Libraire;;173 rue du Faubourg Saint Antoine;75011;Paris;;;;;;;;;;;;;Hatha yoga;Relaxation & méditation;;;;;;;;;elisabeth.libraire@free.fr;;;;;153190803;;;;;Mehdi;15/04/2014
2493;Nous Meme Prod;http://www.nousmemeprod.fr/;173 rue du Faubourg Saint Antoine;75011;Paris;;;;;;;;;;;;;Théâtre amateurs;Formation d'acteurs;;;;;;;;;nousmemeprod@gmail.com;;;;;953072788;;;;;Mehdi;15/04/2014
2494;Dans La Cour;danslacour.fr ;173 Rue du Faubourg Saint-Antoine;75011;Paris;;;;;;;;;;;;;Aïkido;Tai Chi Chuan;Shiatsu;Gymnastique douce, stretching & étirements;Yoga autres;Méthode Feldenkrais;;;;;emmanuel.perrier@neuf.fr;;;;;143434612;;;;;Mehdi;15/04/2014
2496;Daniel Migairou;danslacour.fr/taichi/migairou-tai-chi;173 rue du Fauboourg Saint Antoine;75011;Paris;11 rue des Haies;75020;Paris;15 rue Auguste Gervais;92130;Issy les Moulineaux;;;;;;;Tai Chi Chuan;;;;;;;;;;d.migairou@free.fr;;;;;689537540;;;;;Elisa;15/04/2014
2497;Sons et Froment;sonsetfroment.pagesperso-orange.fr ;177 rue de Charonne;75011;Paris;;;;;;;;;;;;;Solfège;Chant choral;Techniques vocales;;;;;;;;sonsetfroment@free.fr;;;;;139911767;;;;;Zara;15/04/2014
2499;Compagnie aux Dires d'Ascalie;auxdiresdascalie.org ;18 boulevard Voltaire;75011;Paris;;;;;;;;;;;;;Théâtre amateurs;;;;;;;;;;info@auxdiresdascalie.org;;;;;683823541;;;;;Elisa;15/04/2014
2500;Les Métaboles;lesmetaboles.fr;18 passage Courtois;75011;Paris;;;;;;;;;;;;;Culture musicale;Autres danses de société;Orchestre & direction d'orchestre;;;;;;;;lesmetaboles@gmail.com;;;;;781022771;143721976;;;;Guennole;15/04/2014
2501;Studio Danse Pilates;dansepilatesparis.fr/accueil-pilates.html ;18 passage de la main d'or;75011;Paris;;;;;;;;;;;;;Pilates;Massage;Barre au sol classique;;;;;;;;contact@dansepilatesparis.fr;;;;;148050130;;;;;Zara;15/04/2014
2502;Retro Boom Boom;;18 rue du Faubourg du Temple;75011;Paris;;;;;;;;;;;;;Tango, Chachacha, Samba, Forro & Mambo;;;;;;;;;;pratique.du.lundi@gmail.com;;;;;664801625;;;;;Zara;15/04/2014
2503;Meriem Brachet;;28 quai de l’Aisne;93500;Pantin;;;;;;;;;;;;;Danse contemporaine & moderne;;;;;;;;;;meriem.brachet@free.fr;;;;;622393283;;;;;Omar;15/04/2014
2504;Graine de photographe;grainedephotographe.com;18 Rue du Faubourg du Temple;75011;Paris;;;;;;;;;;;;;Initiation à la photographie;Perfectionnement à la photographie;;;;;;;;;grainedephotographe@hotmail.fr;;;;;980394235;;;;;Mehdi;15/04/2014
2505;Le Local Paroles en acte;http://www.le-local.net/;18 rue Orillon;75011;Paris;;;;;;;;;;;;;Danse contemporaine & moderne;Improvisation théâtrale;Théâtre amateurs;;;;;;;;infos@le-local.net;;;;;146361189;;;;;Mehdi;15/04/2014
2507;Quartier Général;;103 rue Oberkampf;75011;Paris;41 Passage Thiéré;75011;Paris;;;;;;;;;;Salsa, Bachata & Chacha;;;;;;;;;;esper.ntadi@hotmail.fr;;;;;143146578;;;;;Zara;15/04/2014
2508;Paperasse Et Cie;;180 rue de charonne;75011;Paris;;;;;;;;;;;;;Dégustations diverses;Mosaïque décorative;;;;;;;;;info@paperasse.org;;;;;143482594;;;;;Mehdi;15/04/2014
2509;L'Atelier du Chanteur;chanteur.net;18 rue de l'Hotel de Ville;75004;Paris;;;;;;;;;;;;;Chant choral;;;;;;;;;;atelier@chanteur.net;;;;;951727182;;;;;Guennole;15/04/2014
2510;Compagnie Contre Ciel;http://www.contreciel.fr/;186 bis rue de la Roquette;75011;Paris;;;;;;;;;;;;;Improvisation théâtrale;Pantins & marionnettes;;;;;;;;;info@contreciel.fr;laporteluc@gmail.com;neith@orange.fr;;;142400686;670118048;145219344;;;Elisa;15/04/2014
2511;Arts Emoi;;188 Boulvard voltaire;75011;Paris;;;;;;;;;;;;;Yoga autres;Ateliers corps & mouvement;;;;;;;;;artsemoi@free.fr;;;;;687609938;;;pas de photo;;Youness;15/04/2014
2513;Nei Lien;http://neilien.com/;19 rue de Mont-Louis;75011;Paris;6 Rue de la Folie Méricourt;75011;Paris;9 rue Alphonse Baudin;75011;Paris;;;;;;;Self-défense;Tai Chi Chuan;Wing Tsun;;;;;;;;neilien@neilien.com;;;;;;;;;;Mehdi;15/04/2014
2515;Aquabobble;aquabobble.com ;19 rue Léon Frot;75011;Paris;;;;;;;;;;;;;Plongée;Arts martiaux autres;;;;;;;;;ref@aquabobble.com;contact@aquabobble.com;;;;628776708;669081119;;;;Youness;15/04/2014
2516;De Brunhoff Agnès;centrealexander-adebrunhoff.fr;192 bd Voltaire;75011;Paris;209 Avenue Jean Jaurès;75019;Paris;;;;;;;;;;Technique Alexander;Techniques vocales;Mise en scène & expression scénique;;;;;;;;agnesdebrunhoff@orange.fr;cftalexander@orange.fr;;;;688104553;;;;;Elisa;15/04/2014
2517;L'Art du Taï Chi Chuan ;http://taichi.chuan.free.fr/;197 rue du Faubourg St Denis;75011;Paris;13 rue Vulpian;75013;Paris;77 rue de Charonne;75011;Paris;;;;;;;Tai Chi Chuan;;;;;;;;;;badett_ghosh@hotmail.com;yvesblanc@sfr.fr;;;;148753274;;;;;Mehdi;15/04/2014
2518;Espace Pilates L'Art Du Contrôle;http://espace-pilates.com/;2 bis rue Gonnet;75011;Paris;;;;;;;;;;;;;Pilates;;;;;;;;;;contact@espace-pilates.com;;;;;144647569;;;;;Mehdi;15/04/2014
2520;Mon Coach Zen;moncoachzen.fr ;2 passage Josset;75011;Paris;;;;;;;;;;;;;Sophrologie;;;;;;;;;;contact@moncoachzen.fr;;;;;610114351;;;;;Zara;15/04/2014
2521;Le Musée de Poche;museedepoche.fr;2 rue Auguste Barbier;75011;Paris;;;;;;;;;;;;;Découverte dessin & peinture;Autres arts plastiques;;;;;;;;;contact@museedepoche.fr;;;;;148072508;;;;;Guennole;15/04/2014
2522;Laetitia Camilleri;;2 rue de la Roquette;75011;Paris;;;;;;;;;;;;;Danse contemporaine & moderne;;;;;;;;;;laetitia.camilleri@hotmail.fr;;;;;685943035;;;;;Guennole;15/04/2014
2523;Lilibricole;lilibricole.com;2 Rue Jean Macé;75011;Paris;122 rue de Sèze;69006;Lyon;;;;;;;;;;Bases du bricolage;Tapisserie;Peinture;;;;;;;;contact@lilibricole.com;;;;;148580603;;;;;Guennole;15/04/2014
2524;Galland Jocelyne;;2 passage Turquetil;75011;Paris;;;;;;;;;;;;;Yoga autres;Hatha yoga;;;;;;;;;jocelynegalland@yahoo.fr;;;;;142556659;663104797;;pas de photo;;Mehdi;15/04/2014
2525;Brin de Cousette;brindecousette.com ;2 rue Richard Lenoir;75011;Paris;;;;;;;;;;;;;Couture & création en feutre et laine;;;;;;;;;;contact@brindecousette.com;brindecousette@brindecousette.com;;;;143725809;;;;;Fabrice;15/04/2014
2527;Al Piquillo;alpiquillo.over-blog.com;200 quai de Valmy;75010;Paris;;;;;;;;;;;;;Flamenco;Hatha yoga;;;;;;;;;alpiquillo@gmail.com;;;;;;;;;;Youness;15/04/2014
2528;Jujitsu Eric Pariset;jujitsuericpariset.com;21 - 23 Boulevard Richard Lenoir;75011;Paris;;;;;;;;;;;;;Jiu-jitsu;Self-défense;Judo;;;;;;;;eric.pariset@jujitsuericpariset.com;;;;;147003438;;;;;Mehdi;15/04/2014
2529;Postures;http://www.postures.fr/;21 rue Alexandre Dumas;75011;Paris;;;;;;;;;;;;;Théâtre amateurs;Ecriture théâtrale;Art dramatique;;;;;;;;postures@orange.fr;;;;;184173700;;;;;Zara;15/04/2014
2530;Académies Intarnationales d'été de Paris;aiep.fr;21 rue de la fontaine au Roi;75011;Paris;;;;;;;;;;;;;Chant & instrument;Flûtes & hautbois;Piano;Violon, violoncelle & alto;;Guitare acoustique;;;;;contact@aiep.fr;;;;;962533543;;;;;Youness;15/04/2014
2531;Tine Tara;elletricoteaparis.com;21 rue des Taillandiers;75011;Paris;;;;;;;;;;;;;Tricot et macramé;;;;;;;;;;contact@elletricoteaparis.com;;;;;;;;;;Zara;15/04/2014
2532;L' Entrepôt;aquabike-lentrepot.com;21 rue du Faubourg Saint Antoine;75011;Paris;;;;;;;;;;;;;Aquagym;Aquabiking;;;;;;;;;contact@aquabike-lentrepot.com;;;;;143410039;;;;;Mehdi;15/04/2014
2533;Swing Tap;swingtap.com;21 rue Keller;75011;Paris;;;;;;;;;;;;;Claquettes;;;;;;;;;;swingtap@gmail.com;;;;;148063818;;;;;Zara;15/04/2014
2534;Terrienne;alexisduclos-terrienne.com ;21 rue Lacharrière;75011;Paris;;;;;;;;;;;;;Modelage;Autres arts plastiques;Céramique;;;;;;;;postmaster@alexisduclos-terrienne.com;;;;;143551530;;;;;Zara;15/04/2014
2535;Guarana;capoeira-guarana-paris.com;21 rue saint-ambroise;75011;Paris;;;;;;;;;;;;;Capoeira;;;;;;;;;;guarana.capoeira@gmail.com;;;;;610302169;;;;;Mehdi;15/04/2014
2536;Audrey & Aurélien;audreyandaurelien.over-blog.com;21 rue du faubourg Saint Antoine;75011;Paris;2 rue de la Roquette;75011;Paris;;;;;;;;;;Swing, Lindy hop & Be-bop;Charleston;Swing, Lindy hop & Be-bop;;;;;;;;audreyandaurelien@gmail.com;;;;;;;;;;Fabrice;15/04/2014
2537;A Batida Brasileira Tempos du Brésil;;22 rue de l'Orillon;75011;Paris;;;;;;;;;;;;;Danse contemporaine & moderne;Danse africaine & Afro jazz;Hip-hop & break dance;Street, break & lock;Tango, Chachacha, Samba, Forro & Mambo;;;;;;abatidabrasileira@yahoo.fr;;;;;663186323;659175204;;;;Youness;15/04/2014
2538;Capoeira Paname;http://capoeirapaname.com/;22 Rue De La Fontaine Au Roi;75011;Paris;3 rue Paul Eluard;93100;Montreuil;59 rue Barbès;93100;Montreuil;9 rue Alphonse Baudin;93100;Montreuil;;;;Capoeira;;;;;;;;;;capoeira.paname@wanadoo.fr;info@capoeirapanama.com;;;;603157317;626933284;;;;Fabrice;15/04/2014
2544;Hardy Christine;christinehardy-alexander.eu ;23 rue basfroi;75011;Paris;;;;;;;;;;;;;Technique Alexander;;;;;;;;;;christinehardy6@hotmail.com;;;;;662840858;143351048;;;;Mehdi;15/04/2014
2545;Association Ductus;ductus.asso.fr ;2 rue boyer;75020;Paris;23 rue de Belfort;75011;Paris;;;;;;;;;;Calligraphie latine & contemporaine;Dessin;;;;;;;;;info@ductus.asso.fr;jean-yves@ductus.asso.fr;marie@ductus.asso.fr;;;143791912;671404478;;;;Youness;15/04/2014
2546;The Groove Academy;thegrooveacademy.com;23 rue Faidherbe;75011;Paris;7 avenue Gilard;44200;Nantes;;;;;;;;;;Batterie;;;;;;;;;;contact@thegrooveacademy.com;;;;;143703115;626033405;618521091;;;Zara;15/04/2014
2547;L'Atelier des Passerelles;atelierdespasserelles.blogspot.com ;23 rue Moret;75011;Paris;;;;;;;;;;;;;Peinture à l'huile;Peinture abstraite & contemporaine;;;;;;;;;atelierdespasserelles@gmail.com;;;;;621076225;;;;;Guennole;15/04/2014
2548;Fabien Lequenne;fl-sophrologie.fr ;232 Cite Voltaire;75011;Paris;;;;;;;;;;;;;Sophrologie;;;;;;;;;;lequenne.fabien@gmail.com;;;;;626115303;;;pas de photo;;Mehdi;15/04/2014
2552;La Pierre Posée;la-pierre-posee.fr;25 rue Alexandre Dumas;75011;Paris;;;;;;;;;;;;;Mosaïque décorative;;;;;;;;;;contact@la-pierre-posee.fr;lapierreposee.contact@laposte.net;;;;641664171;;;;;Guennole;15/04/2014
2553;Le Chemin du Théâtre;chemindutheatre.asso.fr;25 rue de la Fontaine au Roi;75011;Paris;;;;;;;;;;;;;Théâtre amateurs;Pratiques théâtrales mixtes;;;;;;;;;ecrire@chemindutheatre.asso.fr;;;;;143400141;663252736;;;;Guennole;15/04/2014
2558;Standard FC;www.standardfc.fr;26 rue saint maur;75011;Paris;;;;;;;;;;;;;Football;;;;;;;;;;standardfc@free.fr;;;;;143310231;;;;;Zara;15/04/2014
2561;Srinwanti Chakrabarti;srinwanti.com;27B boulevard Jourdan;75011;Paris;;;;;;;;;;;;;Danse indienne & Bollywood;;;;;;;;;;srinwantichakrabarti@gmail.com;;;;;;;;;;Zara;15/04/2014
2562;Baseball Club de France;bcf-softball.fr;28 - 8 rue du Général Renault;75011;Paris;;;;;;;;;;;;;Base-ball;;;;;;;;;;bcfsoftballparis@gmail.com;;;;;649086381;;;;;Fabrice;15/04/2014
2563;Break Dance Crew;www.breakdance.fr;28 rue du chemin vert;75011;Paris;;;;;;;;;;;;;Hip-hop & break dance;;;;;;;;;;tramuz@breakdancecrew.net;;;;;;;;;;Fabrice;15/04/2014
2564;Mojito Lab;http://mojitolab.com/;28 rue Keller;75011;Paris;;;;;;;;;;;;;Cocktails & apéro;Dégustations diverses;;;;;;;;;info@mojitolab.com;;;;;175772395;;;;;Mehdi;15/04/2014
2566;Latin Dance Fuzion;latindancefuzion.com;28 Rue Pouchet;75011;Paris;;;;;;;;;;;;;Apprentissage d'une langue;Sciences, ciel & terre;;;;;;;;;djgabsalsa@gmail.com;admin@latindancefuzion.com;seve@latindancefuzion.com;;;699525575;684159089;;;;Guennole;15/04/2014
2568;Choeur de Chambre Agapanthe;http://cdc.agapanthe.online.fr/;29 rue Neuve des Boulets;75011;Paris;;;;;;;;;;;;;Chant choral;Chant & instrument;;;;;;;;;cdc.agapanthe@online.fr;contact@choeur-agapanthe.fr;;;;618468375;688228029;623466521;;;Fabrice;15/04/2014
2569;Mj Danse & Solidarité;http://mjdansesolidarite.com/;29 rue Popincourt;75011;Paris;;;;;;;;;;;;;Salsa, Bachata & Chacha;Danse contemporaine & moderne;Diverses danses classiques & contemporaines;Culture & civilisation;;;;;;;lil-mams@hotmail.fr;mj.dansesolidarite@gmail.com;;;;;;;;;Mehdi;15/04/2014
2570;Nadia Messai;;8/10 rue de Valmy;93100;Montreuil;;;;;;;;;;;;;Danse orientale;;;;;;;;;;contact@nadiamessai.com;;;;;651280452;147299382;;;;Mehdi;15/04/2014
2572;Apprendre à Voir;alexis.hanse.free.fr;3 cité popincourt;75011;Paris;99 rue de Rivoli;75001;Paris;;;;;;;;;;Dessin;Peinture;;;;;;;;;apprendreavoir@gmail.com;alexishanse@hotmail.fr;;;;148062616;674397163;;;;Youness;15/04/2014
2573;Chaps;lasalleparis.com;3 rue Pierre Levée;75011;Paris;100 rue de la Folie Méricourt;75011;Paris;;;;;;;;;;Hatha yoga;Feng Shui & bien-être;;;;;;;;;info@lasalleparis.com;;;;;143381452;;;;;Guennole;15/04/2014
2574;Les amis du Chœur Charles Munch;lechoeurcharlesmunch.net ;3, rue Lacharrière;75011;Paris;;;;;;;;;;;;;Chant choral;Chant & instrument;;;;;;;;;conservatoire11@paris.fr;info@lechoeurcharlesmunch.net;;;;147008607;;;;;Fabrice;15/04/2014
2575;Aperto;;3 villa Gaudelet;75011;Paris;17 avenue d’Italie;75013;Paris;;;;;;;;;;Chant choral;Musiques mixtes;;;;;;;;;bourdot.marie@wanadoo.fr;;;;;143578228;;;pas de photo;;Youness;15/04/2014
2576;Théâtre Pandora;theatrepandora.com ;30 rue Keller;75011;Paris;;;;;;;;;;;;;Théâtre amateurs;;;;;;;;;;pandorabastille@gmail.com;;;;;147008801;;;;;Zara;15/04/2014
2577;Usep Saint Bernard;;31 - 33 rue Saint Bernard;75011;Paris;;;;;;;;;;;;;Tennis;Handball;Gymnastique autres;;;;;;;;lbarbereau@ac-paris.fr;;;;;;;;pas de photo;;Zara;15/04/2014
2578;Jeanne Latreche;artduyoga.com;31 avenue Georges Bernanos;75005;Paris;;;;;;;;;;;;;Hatha yoga;Yoga autres;;;;;;;;;artduyoga.jeanne@gmx.fr;;;;;615523813;;;;;Mehdi;15/04/2014
2579;Eve Druelle;ecoleduspectacle.free.fr;31 avenue Parmentier;75011;Paris;;;;;;;;;;;;;Théâtre forum;Chants traditionnels & chants du monde;;;;;;;;;evedruelle@hotmail.fr;forumdumouvement@free.fr;;;;147007441;148066801;;;;Mehdi;15/04/2014
2585;FC Paris Arc En Ciel;fcpaec.fr;34 Rue Maryse Hilsz;75020;Paris;;;;;;;;;;;;;Football;;;;;;;;;;fcparisarcenciel@gmail.com;fcpaec@ooups.net;vicepresidenc.fcparisarcenciel@gmail.com;;;143731923;;;;;Mehdi;15/04/2014
2589;Catherine Chauvel;http://www.catherinechauvel.com/;37 Bis rue Montreuil;75011;Paris;;;;;;;;;;;;;Reliure;;;;;;;;;;cls@fornax.fr;;;;;143673092;;;;;Mehdi;15/04/2014
2590;Aline Christine Putot;http://www.curiositel.tm.fr/75/11/putot-cours-sculpture/default.htm;37 Bis rue de Montreuil;75011;Paris;;;;;;;;;;;;;Sculpture & taille de pierre;;;;;;;;;;alineputot@wanadoo.fr;;;;;143700378;;;;;Youness;15/04/2014
2591;L'École Buissonnière;lecolebuissonniere.org;37 rue Alexandre Dumas;75011;Paris;;;;;;;;;;;;;Peinture abstraite & contemporaine;;;;;;;;;;contact@lecolebuissonniere.org;;;;;617672730;;;;;Guennole;15/04/2014
