Nom structure,Doc,Nom de la salle à louer,Surface salle à louer,Barres,Miroirs,Sono,Tapis de sol sur plancher,Plancher / parquet,Piano,Studio d'enregistrement,Vestiaire,Info complémentaire,Tarif location régulière pour cours ou stage (prix / heure),Tarif min. location ponctuelle (prix / heure),Tarif max. location ponctuelle (prix / heure),HT / TTC,Informations tarifs,Contact spécifique : tél,Contact spécifique : mail,,,,,
ACP la Manufacture Chanson,Loc1,Salle de chant,34,,,X,,,X,,,"Salle de cours avec chaises et canapé – système de sonorisation avec 2 micros + pieds, platines CD, D.I. et entrées auxiliaire (pour brancher lecteur mp3 ou baladeur…) – piano numérique – sol : moquette.",,10,17,TTC,Un droit d’accès (à partir de 20€) sera demandé pour la mise à disposition des salles (valable du 1er septembre 2012 au 31 août 2013).,,,,,,,
ACP la Manufacture Chanson,Loc1,Espace documentation,22,,,X,,,X,,,Salle de cours avec chaises et tables – système d’écoute de CD – tableau Velléda – poste informatique avec internet – Télévision - clavier numérique.,,8,13,TTC,Un droit d’accès (à partir de 20€) sera demandé pour la mise à disposition des salles (valable du 1er septembre 2012 au 31 août 2013).,,,,,,,
ACP la Manufacture Chanson,Loc1,Grande salle sous-sol,65,,,X,,X,X,,,"Salle de cours insonorisée avec  canapé et chaises– système  de sonorisation avec 2 micros + pieds, platines CD, D.I. et entrées auxiliaires (pour brancher lecteur mp3 ou baladeur…) – mini régie lumière - piano numérique – sol : parquet.",,13,21,TTC,Un droit d’accès (à partir de 20€) sera demandé pour la mise à disposition des salles (valable du 1er septembre 2012 au 31 août 2013).,,,,,,,
ACP la Manufacture Chanson,Loc1,Salle d'expression scénique,35,,,X,,,X,,,"Salle de cours insonorisée avec chaises – système de sonorisation avec 2 micros + pieds, platines CD, D.I. et entrées auxiliaire (pour brancher lecteur mp3 ou baladeur…) – mini régie lumière - piano numérique – sol : moquette.",,10,17,TTC,Un droit d’accès (à partir de 20€) sera demandé pour la mise à disposition des salles (valable du 1er septembre 2012 au 31 août 2013).,,,,,,,
ACP la Manufacture Chanson,Loc1,Salle de cours,21,,,X,,,X,,,"Salle de cours insonorisée avec chaises – système de sonorisation avec 2 micros + pieds, platines CD, D.I. et entrées auxiliaire (pour brancher lecteur mp3 ou baladeur…) –  piano numérique – tableau à craies - sol : PVC.",,8,13,TTC,Un droit d’accès (à partir de 20€) sera demandé pour la mise à disposition des salles (valable du 1er septembre 2012 au 31 août 2013).,,,,,,,
ACP la Manufacture Chanson,Loc1,Box 1 et 2,12,,,,,,X,,,"Petits box – système de sonorisation avec 2 micros + pieds, platines CD, D.I. et entrées auxiliaire (pour brancher lecteur mp3 ou baladeur…) – piano acoustique (box 1) ou numérique (box 2) - sol : moquette.",,6,10,TTC,Un droit d’accès (à partir de 20€) sera demandé pour la mise à disposition des salles (valable du 1er septembre 2012 au 31 août 2013).,,,,,,,
Le Centre des Arts Vivants,,"Choix entre 10 studios, location sur demande",20,X,X,X,X,X,X,,X,"10 studios dont deux sous verrières gorgées de lumières, répartis sur trois niveaux pour la passion de tous : professionnels et amateurs. Pour les cours de claquettes et les cours de flamenco, qui nécessitent un plancher de danse amortissant, l’un des studios dispose d’un parquet à triple lambourdage.",,,,,Tarifs et conditions sur demande.,,karine@lecentredesarts.com,,,,,
Kajyn,,Parquet,100,,,,,X,,,X,Location possible entre 8h et 22h.,100,,,,Prix pour 2h de location. Tarifs préférentiels pour 4h ou 8h.,,,,,,,
Kajyn,,Boxe,50,,,,,,,,X,Location possible entre 8h et 22h. Salle contenant un ring de 4x4 m.,95,,,,Prix pour 2h de location. Tarifs préférentiels pour 4h ou 8h.,,,,,,,
Kajyn,,Cardio muscu,70,,,,,,,,X,Location possible entre 8h et 22h.,150,,,,Prix pour 2h de location.,,,,,,,
Kajyn,,Polyvalente,50,,,,,,,,X,Location possible entre 8h et 22h.,50,,,,Prix pour 2h de location. Tarifs préférentiels pour 4h ou 8h.,,,,,,,
Kajyn,,Tatamis,100,,,,X,,,,X,Location possible entre 8h et 22h.,95,,,,Prix pour 2h de location. Tarifs préférentiels pour 4h ou 8h.,,,,,,,
Kajyn,,Mezzanine,30,,,,,,,,X,Location possible entre 8h et 22h.,50,,,,Prix pour 2h de location. Tarifs préférentiels pour 4h ou 8h.,,,,,,,
La Petite Rockette,,,25,,,,,,,,,"Location du lundi au samedi de 13h à 22h, le samedi jusqu'à 20h. Espace de répétitions dédié aux spectacles vivants (Compagnies, auteurs, metteurs en scène, danseurs, chorégraphes,…) mais sont aussi consacrés temporairement aux projets associatifs (journée humanitaire, soirée de soutien…).",,,,,Tarifs sur demande.,,reservations@lapetiterockette.org,,,,,
La Petite Rockette,,,35,,,,,,,,,"Location du lundi au samedi de 13h à 22h, le samedi jusqu'à 20h. Espace de répétitions dédié aux spectacles vivants (Compagnies, auteurs, metteurs en scène, danseurs, chorégraphes,…) mais sont aussi consacrés temporairement aux projets associatifs (journée humanitaire, soirée de soutien…).",,,,,Tarifs sur demande.,,reservations@lapetiterockette.org,,,,,
Polynotes,,"Une 10aine de salle, dont 3 salles >50m2",,,,,,,,,,,,,,,Tarifs et disponibilités sur demande.,,,,,,,
Step Dance - Denfert,,,85,,X,X,,X,,,X,"Inclut climatisation haut de gamme, la sono peut lire les CD et compatible Ipod/Iphone. Le ménage est compris et fait intégralement tous les jours.",,15,45,TTC,"Location des salles pour des cours réguliers, des stages, des répétitions. Pour les stages : tarifs sur devis.",06 14 87 58 84,j.taisson_stepdance@yahoo.fr,,,,,
Step Dance - Denfert,,,95,,X,X,,X,,,X,"Inclut climatisation haut de gamme, la sono peut lire les CD et compatible Ipod/Iphone. Le ménage est compris et fait intégralement tous les jours.",,15,45,TTC,"Location des salles pour des cours réguliers, des stages, des répétitions. Pour les stages : tarifs sur devis.",06 14 87 58 84,j.taisson_stepdance@yahoo.fr,,,,,
Step Dance - Denfert,,,75,,X,X,,X,,,X,"Inclut climatisation haut de gamme, la sono peut lire les CD et compatible Ipod/Iphone. Le ménage est compris et fait intégralement tous les jours.",,15,45,TTC,"Location des salles pour des cours réguliers, des stages, des répétitions. Pour les stages : tarifs sur devis.",06 14 87 58 84,j.taisson_stepdance@yahoo.fr,,,,,
Step Dance - Denfert,,,28,,X,X,,X,,,X,"Inclut climatisation haut de gamme, la sono peut lire les CD et compatible Ipod/Iphone. Le ménage est compris et fait intégralement tous les jours.",,15,45,TTC,"Location des salles pour des cours réguliers, des stages, des répétitions. Pour les stages : tarifs sur devis.",06 14 87 58 84,j.taisson_stepdance@yahoo.fr,,,,,
Step Dance - Bastille,,,75,,X,X,,X,,,X,"Inclut climatisation haut de gamme, la sono peut lire les CD et compatible Ipod/Iphone. Le ménage est compris et fait intégralement tous les jours.",,15,45,TTC,"Location des salles pour des cours réguliers, des stages, des répétitions. Pour les stages : tarifs sur devis.",06 14 87 58 84,j.taisson_stepdance@yahoo.fr,,,,,
Step Dance - Bastille,,,75,,X,X,,X,,,X,"Inclut climatisation haut de gamme, la sono peut lire les CD et compatible Ipod/Iphone. Le ménage est compris et fait intégralement tous les jours.",,15,45,TTC,"Location des salles pour des cours réguliers, des stages, des répétitions. Pour les stages : tarifs sur devis.",06 14 87 58 84,j.taisson_stepdance@yahoo.fr,,,,,
Step Dance - Bastille,,,75,,X,X,,X,,,X,"Inclut climatisation haut de gamme, la sono peut lire les CD et compatible Ipod/Iphone. Le ménage est compris et fait intégralement tous les jours.",,15,45,TTC,"Location des salles pour des cours réguliers, des stages, des répétitions. Pour les stages : tarifs sur devis.",06 14 87 58 84,j.taisson_stepdance@yahoo.fr,,,,,
Step Dance - Bastille,,,9,,X,X,,X,,,X,"Inclut climatisation haut de gamme, la sono peut lire les CD et compatible Ipod/Iphone. Le ménage est compris et fait intégralement tous les jours.",,15,45,TTC,"Location des salles pour des cours réguliers, des stages, des répétitions. Pour les stages : tarifs sur devis.",06 14 87 58 84,j.taisson_stepdance@yahoo.fr,,,,,
Académie de Danse Montparnasse,,,160,X,X,X,,X,,,X,"Le plus vaste studio de danse de la rive gauche : 160 m2 bien éclairé et aéré. Plancher de danse ""flottant"" avec panneaux amortissants.",,,,,Tarifs et disponibilités sur demande.,,,,,,,
Amana Studio,,,150,X,X,X,,X,,,X,,,,,,Tarifs et disponibilités sur demande.,,,,,,,
Centre d'Animation Marc Sangnier,,,,X,X,X,,X,,X,X,,9,,,,"Réserver deux semaines à l’avance (l’attente est en moyenne 3 semaines dans l’année). Pour les enregistements : 27,50€/h et 220€ pour 10h. Les horaires d’enregistrements restent idéalement le mardi avant 15h, et tout le vendredi après midi. Le studio (micro Neumann TLM49, très bons préamplis et carte RME fireface800, Cubase 5, etc.) est surtout dédié aux enregistrements de voix, tous styles, avec possible coaching vocal, à votre demande.","Renseignements au 01 56 53 53 53 et par mail avec Rémi, le responsable.","Renseignements au 01 56 53 53 53 et par mail avec Rémi, le responsable.",,,,,
Centre d'Animation Vercingétorix,,,,X,X,X,,X,,X,X,,9,,,,"Réserver deux semaines à l’avance (l’attente est en moyenne 3 semaines dans l’année). Pour les enregistements : 27,50€/h et 220€ pour 10h. Les horaires d’enregistrements restent idéalement le mardi avant 15h, et tout le vendredi après midi. Le studio (micro Neumann TLM49, très bons préamplis et carte RME fireface800, Cubase 5, etc.) est surtout dédié aux enregistrements de voix, tous styles, avec possible coaching vocal, à votre demande.","Renseignements au 01 56 53 53 53 et par mail avec Rémi, le responsable.","Renseignements au 01 56 53 53 53 et par mail avec Rémi, le responsable.",,,,,
Centre de danse Alesia,,Studio Matisse,42,X,X,X,,X,,,X,"Baie vitrée sur jardin, climatisation réversible indépendante. Toutes les disciplines acceptées exceptées flamenco et claquettes.",,,,,"Tarifs sur demande et variables selon la destination de la location. Tarifs spéciaux pour répétitions, cours particuliers, stages, photos, vidéos et castings). Réduction de -10% à -15% sur les cartes de 10h et 20h valables 6 mois.",,,,,,,
Centre de danse Alesia,,Studio Beraud,40,X,X,X,,X,,,X,Plancher flottant souple spécial flamenco et claquettes. Climatisation réversible indépendante. Toutes disciplines acceptées.,,,,,"Tarifs sur demande et variables selon la destination de la location. Tarifs spéciaux pour répétitions, cours particuliers, stages, photos, vidéos et castings). Réduction de -10% à -15% sur les cartes de 10h et 20h valables 6 mois.",,,,,,,
Centre de danse Alesia,,Studio Carpeaux,20,X,X,X,,X,X,,X,"Plancher flottant souple spécial flamenco et claquettes. Climatisation réversible indépendante. Toutes disciplines acceptées, en particulier chant et musique.",,,,,"Tarifs sur demande et variables selon la destination de la location. Tarifs spéciaux pour répétitions, cours particuliers, stages, photos, vidéos et castings). Réduction de -10% à -15% sur les cartes de 10h et 20h valables 6 mois.",,,,,,,
Centre de danse Alesia,,Studio Degas,100,X,X,X,,X,X,,X,Salle rectangulaire divisible en deux. Plancher flottant neuf ultra souple. Climatisation réversible indépendante. Toutes les disciplines acceptées exceptées flamenco et claquettes.,,,,,"Tarifs sur demande et variables selon la destination de la location. Tarifs spéciaux pour répétitions, cours particuliers, stages, photos, vidéos et castings). Réduction de -10% à -15% sur les cartes de 10h et 20h valables 6 mois.",,,,,,,
Paris Dance School,,,80,,X,X,,X,,,X,"Salle rectangulaire de murs blancs éclairée par la lumière du jour, et qui contient également un espace détente. Les créneaux horaires disponibles sont de 08h à 19h en semaine et les week-ends entiers. Attention, pas de location pour le Flamenco, les claquettes et la danse africaine avec percussions.",,20,35,HT,Tarifs différents selon l'objectif de la location (séance photo / tournage / stage / cours / répétition).,,,,,,,
Studio l'Envol,,Grand studio,80,X,X,X,,X,,,X,,,17,33,HT,,06 62 74 92 75,Isabelle Guenezan ou Sophie Chaillou,,,,,
Studio l'Envol,,Petit Studio,40,,X,X,,X,,,X,,,11,22,HT,,06 62 74 92 75,Isabelle Guenezan ou Sophie Chaillou,,,,,
Ecole de danse de Paris,,Studio 1,,,,,,,,,,,,,,,Tarifs et disponibilités sur demande.,,,,,,,
Ecole de danse de Paris,,Studio 2,,,,,,,,,,,,,,,Tarifs et disponibilités sur demande.,,,,,,,
